group,id,TrialNumber,﻿trial,color,congruent,ran,order,trial_onset,text_color,resp,rt_onset
A,123,1,stroop,green,N,1.0,0.0,0.000539938,red,NA,NA
A,123,2,stroop,blue,Y,1.0,1.0,3.033275,blue,2,4.00175686700004
A,123,3,stroop,blue,N,1.0,2.0,5.5169563,green,1,5.9012900849998005
A,123,4,stroop,red,N,1.0,3.0,7.4165673,green,2,7.784205139999813
A,123,5,stroop,red,Y,1.0,4.0,9.299833,red,2,9.637841561999721
A,123,6,stroop,green,Y,1.0,5.0,11.149541,green,1,12.234667269000056
﻿group,id,TrialNumber,color,congruent,ran,order,trial_onset,text_color,resp,rt_onset
A,123,1,green,N,1.0,0.0,0.000568713,red,2.0,1.1875929
A,123,2,green,Y,1.0,1.0,2.7174594,green,1.0,3.5359488
A,123,3,blue,Y,1.0,2.0,5.0509543,blue,2.0,6.752117
A,123,4,red,Y,1.0,3.0,8.268121,red,2.0,8.752009
A,123,5,red,N,1.0,4.0,10.267177,blue,1.0,10.751374
A,123,6,blue,N,1.0,5.0,12.267028,red,2.0,12.418171
